109700,HARDING UNIVERSITY,SEARCY,AR,Private - 4 Year," $4,700,487 "," 1,189 "
109800,HENDERSON STATE UNIVERSITY,ARKADELPHIA,AR,Public - 4 Year," $7,661,154 "," 1,868 "
109900,HENDRIX COLLEGE,CONWAY,AR,Private - 4 Year," $1,034,996 ", 247 
110000,JOHN BROWN UNIVERSITY,SILOAM SPRINGS,AR,Private - 4 Year," $2,593,865 ", 703 
110100,UNIV ARKANSAS LITTLE ROCK,LITTLE ROCK,AR,Public - 4 Year," $17,208,616 "," 4,638 "
110200,OUACHITA BAPTIST UNIVERSITY,ARKADELPHIA,AR,Private - 4 Year," $1,664,940 ", 413 
110300,PHILANDER SMITH COLLEGE,LITTLE ROCK,AR,Private - 4 Year," $2,227,181 ", 497 
110400,PHILLIPS COUNTY COMMUNITY COLLEGE,HELENA,AR,Public - 2 Year," $3,521,572 ", 966 
110500,SHORTER COLLEGE,NORTH LITTLE ROCK,AR,Private - 2 Year," $794,706 ", 201 
110600,WILLIAMS BAPTIST COLLEGE,WALNUT RIDGE,AR,Private - 4 Year," $1,267,807 ", 305 
110700,SOUTHERN ARKANSAS UNIVERSITY,MAGNOLIA,AR,Public - 4 Year," $6,506,157 "," 1,563 "
110800,UNIV ARKANSAS FAYETTEVILLE,FAYETTEVILLE,AR,Public - 4 Year," $20,575,366 "," 5,190 "
110900,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIEN,LITTLE ROCK,AR,Public - 4 Year," $1,313,653 ", 325 
111000,UNIVERSITY OF ARKANSAS-FORT SMITH,FORT SMITH,AR,Public - 4 Year," $15,818,035 "," 4,144 "
111100,ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,Public - 2 Year," $10,324,809 "," 3,101 "
111300,ANTELOPE VALLEY COLLEGE,LANCASTER,CA,Public - 2 Year," $28,506,108 "," 8,929 "
111600,ART CENTER COLLEGE OF DESIGN,PASADENA,CA,Private - 4 Year," $3,226,944 ", 759 
111700,AZUSA PACIFIC UNIVERSITY,AZUSA,CA,Private - 4 Year," $10,316,736 "," 2,707 "
111800,BAKERSFIELD COLLEGE,BAKERSFIELD,CA,Public - 2 Year," $25,184,701 "," 8,167 "
111900,BARSTOW COMMUNITY COLLEGE,BARSTOW,CA,Public - 2 Year," $7,110,035 "," 2,372 "
112200,BIOLA UNIVERSITY,LA MIRADA,CA,Private - 4 Year," $5,627,095 "," 1,415 "
112300,BROOKS INSTITUTE,SANTA BARBARA,CA,Proprietary - 4 Year," $1,493,466 ", 337 
112400,CABRILLO COLLEGE,APTOS,CA,Public - 2 Year," $12,643,026 "," 3,908 "
112500,CALIFORNIA BAPTIST UNIVERSITY,RIVERSIDE,CA,Private - 4 Year," $11,071,905 "," 2,865 "
112700,CALIFORNIA COLLEGE OF THE ARTS,SAN FRANCISCO,CA,Private - 4 Year," $2,159,484 ", 506 
113100,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,Private - 4 Year," $446,461 ", 105 
113200,CALIFORNIA INSTITUTE OF THE ARTS,VALENCIA,CA,Private - 4 Year," $1,408,609 ", 320 
113300,CALIFORNIA LUTHERAN UNIVERSITY,THOUSAND OAKS,CA,Private - 4 Year," $3,272,151 ", 856 
113400,CALIFORNIA MARITIME ACADEMY,VALLEJO,CA,Public - 4 Year," $1,759,765 ", 378 
113700,CALIF STATE UNIV-FULLERTON,FULLERTON,CA,Public - 4 Year," $58,713,281 "," 14,084 "
113800,"CALIFORNIA STATE UNIVERSITY, EAST BAY",HAYWARD,CA,Public - 4 Year," $24,389,793 "," 5,993 "
113900,CALIF STATE UNIV-LONG BEACH,LONG BEACH,CA,Public - 4 Year," $65,979,795 "," 15,502 "
114000,CALIF STATE UNIV-LOS ANGELES,LOS ANGELES,CA,Public - 4 Year," $53,375,069 "," 12,652 "
114100,"CALIF STATE UNIV, DOMINGUEZ HILLS",CARSON,CA,Public - 4 Year," $30,264,664 "," 7,239 "
114200,CALIF STATE UNIV SAN BERNARDINO,SAN BERNARDINO,CA,Public - 4 Year," $42,918,098 "," 9,983 "
114300,CAL POLY STATE UNIVERSITY,SAN LUIS OBISPO,CA,Public - 4 Year," $15,198,281 "," 3,749 "
114400,CALIF STATE POLYTECHNIC UNIV POMONA,POMONA,CA,Public - 4 Year," $40,545,454 "," 9,572 "
114600,CALIF STATE UNIV - CHICO,CHICO,CA,Public - 4 Year," $28,131,221 "," 6,529 "
114700,CALIF STATE UNIV - FRESNO,FRESNO,CA,Public - 4 Year," $50,157,494 "," 11,404 "
114900,HUMBOLDT STATE UNIVERSITY,ARCATA,CA,Public - 4 Year," $17,553,227 "," 3,965 "
115000,CALIF STATE UNIV-SACRAMENTO,SACRAMENTO,CA,Public - 4 Year," $56,697,231 "," 13,747 "
115100,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,Public - 4 Year," $46,323,060 "," 10,805 "
115300,CALIF STATE UNIV-NORTHRIDGE,NORTHRIDGE,CA,Public - 4 Year," $69,670,908 "," 16,087 "
115400,SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO,CA,Public - 4 Year," $48,371,794 "," 11,676 "
115500,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,Public - 4 Year," $43,360,875 "," 10,482 "
115600,SONOMA STATE UNIVERSITY,ROHNERT PARK,CA,Public - 4 Year," $10,742,997 "," 2,619 "
115700,CALIF STATE UNIV-STANISLAUS,TURLOCK,CA,Public - 4 Year," $19,875,248 "," 4,789 "
116100,CERRITOS COLLEGE,NORWALK,CA,Public - 2 Year," $34,500,522 "," 11,297 "
116200,CHABOT COLLEGE,HAYWARD,CA,Public - 2 Year," $12,613,094 "," 3,994 "
116300,CHAFFEY COLLEGE,RANCHO CUCAMONGA,CA,Public - 2 Year," $24,042,211 "," 7,986 "
116400,CHAPMAN UNIVERSITY,ORANGE,CA,Private - 4 Year," $4,940,816 "," 1,218 "
116600,CITRUS COLLEGE,GLENDORA,CA,Public - 2 Year," $14,776,760 "," 4,840 "
117000,CLAREMONT MCKENNA COLLEGE,CLAREMONT,CA,Private - 4 Year," $593,861 ", 148 
117100,HARVEY MUDD COLLEGE,CLAREMONT,CA,Private - 4 Year," $434,104 ", 104 
117200,PITZER COLLEGE,CLAREMONT,CA,Private - 4 Year," $719,719 ", 179 
117300,POMONA COLLEGE,CLAREMONT,CA,Private - 4 Year," $1,206,950 ", 276 
117400,SCRIPPS COLLEGE,CLAREMONT,CA,Private - 4 Year," $504,252 ", 126 
117600,WEST HILLS COMMUNITY COLLEGE,COALINGA,CA,Public - 2 Year," $4,144,397 "," 1,162 "
117700,COGSWELL POLYTECHNICAL COLLEGE,SUNNYVALE,CA,Proprietary - 4 Year," $828,939 ", 209 
117800,COLLEGE OF MARIN,KENTFIELD,CA,Public - 2 Year," $6,595,361 "," 2,046 "
117900,NOTRE DAME DE NAMUR UNIVERSITY,BELMONT,CA,Private - 4 Year," $2,265,300 ", 622 
118100,COLLEGE OF SAN MATEO,SAN MATEO,CA,Public - 2 Year," $5,959,313 "," 1,760 "
118200,COLLEGE OF THE DESERT,PALM DESERT,CA,Public - 2 Year," $14,798,427 "," 4,722 "
118300,HOLY NAMES UNIVERSITY,OAKLAND,CA,Private - 4 Year," $1,839,630 ", 461 
118500,COLLEGE OF THE REDWOODS,EUREKA,CA,Public - 2 Year," $7,774,289 "," 2,344 "
118600,COLLEGE OF THE SEQUOIAS,VISALIA,CA,Public - 2 Year," $18,064,232 "," 5,790 "
118700,COLLEGE OF THE SISKIYOUS,WEED,CA,Public - 2 Year," $4,125,072 "," 1,122 "
119701,COMPTON COMMUNITY COLLEGE,COMPTON,CA,Public - 2 Year," $7,973,736 "," 2,397 "
119000,CONTRA COSTA COLLEGE,SAN PABLO,CA,Public - 2 Year," $7,843,185 "," 2,367 "
119100,DIABLO VALLEY COLLEGE,PLEASANT HILL,CA,Public - 2 Year," $11,027,761 "," 3,190 "
119200,CUESTA COLLEGE,SAN LUIS OBISPO,CA,Public - 2 Year," $6,590,419 "," 1,939 "
119300,CYPRESS COLLEGE,CYPRESS,CA,Public - 2 Year," $16,245,336 "," 4,746 "
119600,DOMINICAN UNIVERSITY OF CALIFORNIA,SAN RAFAEL,CA,Private - 4 Year," $2,039,293 ", 541 
119700,EL CAMINO COLLEGE,TORRANCE,CA,Public - 2 Year," $23,356,857 "," 7,332 "
119900,FOOTHILL COLLEGE,LOS ALTOS HILLS,CA,Public - 2 Year," $4,915,912 "," 1,518 "
120100,FULLERTON COLLEGE,FULLERTON,CA,Public - 2 Year," $20,996,530 "," 5,937 "
120200,GAVILAN COLLEGE,GILROY,CA,Public - 2 Year," $5,967,911 "," 1,859 "
120300,GLENDALE COMMUNITY COLLEGE,GLENDALE,CA,Public - 2 Year," $26,007,852 "," 7,628 "
120500,GOLDEN GATE UNIVERSITY,SAN FRANCISCO,CA,Private - 4 Year," $532,993 ", 178 
120600,GOLDEN WEST COLLEGE,HUNTINGTON BEACH,CA,Public - 2 Year," $13,929,268 "," 3,812 "
120800,GROSSMONT COLLEGE,EL CAJON,CA,Public - 2 Year," $16,090,787 "," 4,827 "
120900,HARTNELL COMMUNITY COLLEGE,SALINAS,CA,Public - 2 Year," $10,647,541 "," 3,142 "
121200,HUMPHREYS COLLEGE,STOCKTON,CA,Private - 4 Year," $2,774,846 ", 770 
121400,IMPERIAL VALLEY COLLEGE,IMPERIAL,CA,Public - 2 Year," $17,895,330 "," 4,896 "
121500,LA SIERRA UNIVERSITY,RIVERSIDE,CA,Private - 4 Year," $4,243,223 "," 1,026 "
121600,UNIVERSITY OF LA VERNE,LA VERNE,CA,Private - 4 Year," $9,494,271 "," 2,634 "
121700,LASSEN COLLEGE,SUSANVILLE,CA,Public - 2 Year," $1,798,766 ", 491 
121800,LOMA LINDA UNIVERSITY,LOMA LINDA,CA,Private - 4 Year," $1,695,952 ", 427 
121900,LONG BEACH CITY COLLEGE,LONG BEACH,CA,Public - 2 Year," $42,404,610 "," 12,531 "
122000,MASTER'S COLLEGE & SEMINARY (THE),SANTA CLARITA,CA,Private - 4 Year," $1,672,047 ", 456 
2226000,EAST LOS ANGELES COLLEGE,MONTEREY PARK,CA,Public - 2 Year," $38,425,289 "," 11,319 "
122300,LOS ANGELES CITY COLLEGE,LOS ANGELES,CA,Public - 2 Year," $27,913,144 "," 7,872 "
122400,LOS ANGELES HARBOR COLLEGE,WILMINGTON,CA,Public - 2 Year," $12,822,948 "," 3,852 "
122600,LOS ANGELES PIERCE COLLEGE,WOODLAND HILLS,CA,Public - 2 Year," $26,116,162 "," 7,830 "
122700,LOS ANGELES TRADE TECH COLLEGE,LOS ANGELES,CA,Public - 2 Year," $20,909,534 "," 6,137 "
122800,LOS ANGELES VALLEY COLLEGE,VALLEY GLEN,CA,Public - 2 Year," $23,289,872 "," 6,775 "
122900,SO CA UNIV  HEALTH SCIENCES,WHITTIER,CA,Private - 4 Year," $12,301 ", 6 
123200,AMERICAN RIVER COLLEGE,SACRAMENTO,CA,Public - 2 Year," $35,270,591 "," 10,830 "
123300,SACRAMENTO CITY COLLEGE,SACRAMENTO,CA,Public - 2 Year," $25,385,065 "," 7,792 "
1164900,LOYOLA MARYMOUNT UNIVERSITY,LOS ANGELES,CA,Private - 4 Year," $5,166,408 "," 1,221 "
123600,MENLO COLLEGE,ATHERTON,CA,Private - 4 Year," $1,060,161 ", 249 
123700,MERCED COMMUNITY COLLEGE,MERCED,CA,Public - 2 Year," $19,560,535 "," 5,926 "
123800,MILLS COLLEGE,OAKLAND,CA,Private - 4 Year," $2,011,349 ", 475 
123900,MIRACOSTA COLLEGE,OCEANSIDE,CA,Public - 2 Year," $7,078,408 "," 2,000 "
124000,MODESTO JUNIOR COLLEGE,MODESTO,CA,Public - 2 Year," $25,987,033 "," 7,996 "
369110,MIDDLEBURY COLLEGE - MONTEREY INSTITUTE,MONTEREY,CA,Private - 4 Year," $34,325 ", 10 
124200,MONTEREY PENINSULA COLLEGE,MONTEREY,CA,Public - 2 Year," $5,053,917 "," 1,538 "
124300,MOUNT ST MARYS COLLEGE,LOS ANGELES,CA,Private - 4 Year," $5,905,239 "," 1,478 "
124500,MT. SAN ANTONIO COLLEGE,WALNUT,CA,Public - 2 Year," $41,680,676 "," 12,355 "
124600,MT SAN JACINTO COLLEGE,SAN JACINTO,CA,Public - 2 Year," $17,303,856 "," 6,123 "
124700,NAPA VALLEY COLLEGE,NAPA,CA,Public - 2 Year," $6,325,549 "," 1,961 "
124900,OCCIDENTAL COLLEGE,LOS ANGELES,CA,Private - 4 Year," $2,005,790 ", 467 
125000,ORANGE COAST COLLEGE - FIN AID OFF,COSTA MESA,CA,Public - 2 Year," $16,483,134 "," 4,506 "
125100,OTIS COLLEGE OF ART AND DESIGN,LOS ANGELES,CA,Private - 4 Year," $2,622,047 ", 557 
125200,HOPE INTERNATIONAL UNIVERSITY,FULLERTON,CA,Private - 4 Year," $1,914,273 ", 514 
125300,FRESNO PACIFIC UNIVERSITY,FRESNO,CA,Private - 4 Year," $6,376,364 "," 1,796 "
125500,PACIFIC OAKS COLLEGE,PASADENA,CA,Private - 4 Year," $990,125 ", 320 
125800,PACIFIC UNION COLLEGE,ANGWIN,CA,Private - 4 Year," $2,776,746 ", 668 
125900,PALO VERDE COLLEGE,BLYTHE,CA,Public - 2 Year," $1,449,082 ", 387 
126000,PALOMAR COLLEGE,SAN MARCOS,CA,Public - 2 Year," $14,891,577 "," 4,467 "
126100,PASADENA CITY COLLEGE,PASADENA,CA,Public - 2 Year," $28,391,168 "," 7,259 "
126200,POINT LOMA NAZARENE UNIVERSITY,SAN DIEGO,CA,Private - 4 Year," $2,803,720 ", 675 
1014900,PEPPERDINE UNIVERSITY,MALIBU,CA,Private - 4 Year," $3,793,771 ", 910 
126600,LANEY COLLEGE,OAKLAND,CA,Public - 2 Year," $12,709,708 "," 3,566 "
126700,MERRITT COLLEGE,OAKLAND,CA,Public - 2 Year," $6,467,698 "," 1,831 "
126800,PORTERVILLE COLLEGE,PORTERVILLE,CA,Public - 2 Year," $8,493,774 "," 2,439 "
126900,RIO HONDO COLLEGE,WHITTIER,CA,Public - 2 Year," $17,408,214 "," 5,478 "
127000,RIVERSIDE CITY COLLEGE,RIVERSIDE,CA,Public - 2 Year," $20,540,247 "," 7,081 "
127200,SAN BERNARDINO VALLEY COLLEGE,SAN BERNARDINO,CA,Public - 2 Year," $19,604,988 "," 5,909 "
127300,SAN DIEGO CITY COLLEGE,SAN DIEGO,CA,Public - 2 Year," $22,692,233 "," 6,653 "
127500,SAN DIEGO MESA COLLEGE,SAN DIEGO,CA,Public - 2 Year," $18,578,666 "," 5,220 "
127800,SAN FRANCISCO CONSERVATORY OF MUSIC,SAN FRANCISCO,CA,Private - 4 Year," $290,467 ", 64 
128000,SAN JOAQUIN DELTA COLLEGE,STOCKTON,CA,Public - 2 Year," $27,660,300 "," 8,309 "
128100,WILLIAM JESSUP UNIVERSITY,ROCKLIN,CA,Private - 4 Year," $1,942,658 ", 516 
128200,SAN JOSE CITY COLLEGE,SAN JOSE,CA,Public - 2 Year," $8,244,332 "," 2,322 "
128400,SANTA ANA COLLEGE,SANTA ANA,CA,Public - 2 Year," $12,608,380 "," 3,802 "
128500,SANTA BARBARA CITY COLLEGE,SANTA BARBARA,CA,Public - 2 Year," $17,186,175 "," 4,967 "
128600,SANTA MONICA COLLEGE,SANTA MONICA,CA,Public - 2 Year," $28,577,600 "," 8,341 "
128700,SANTA ROSA JUNIOR COLLEGE,SANTA ROSA,CA,Public - 2 Year," $15,641,144 "," 4,686 "
128900,SHASTA COLLEGE,REDDING,CA,Public - 2 Year," $14,292,084 "," 4,115 "
129000,SIERRA COLLEGE,ROCKLIN,CA,Public - 2 Year," $22,987,526 "," 6,917 "
129100,SIMPSON UNIVERSITY,REDDING,CA,Private - 4 Year," $2,701,922 ", 693 
129200,SOLANO COMMUNITY COLLEGE,FAIRFIELD,CA,Public - 2 Year," $9,369,349 "," 3,048 "
129300,VANGUARD UNIVERSITY OF SOUTHERN CA,COSTA MESA,CA,Private - 4 Year," $3,400,637 ", 887 
129400,SOUTHWESTERN COLLEGE,CHULA VISTA,CA,Public - 2 Year," $21,293,389 "," 5,765 "
130200,SAINT MARY'S COLLEGE OF CALIFORNIA,MORAGA,CA,Private - 4 Year," $3,772,967 ", 921 
130500,STANFORD UNIVERSITY,STANFORD,CA,Private - 4 Year," $4,679,894 "," 1,117 "
130700,FRESNO CITY COLLEGE,FRESNO,CA,Public - 2 Year," $33,277,977 "," 10,283 "
130800,REEDLEY COLLEGE,REEDLEY,CA,Public - 2 Year," $17,038,744 "," 5,086 "
130900,TAFT COLLEGE,TAFT,CA,Public - 2 Year," $4,006,783 "," 1,155 "
131200,UNIVERSITY OF CALIFORNIA-BERKELEY,BERKELEY,CA,Public - 4 Year," $39,006,072 "," 9,216 "
131300,UNIVERSITY OF CALIFORNIA-DAVIS,DAVIS,CA,Public - 4 Year," $48,908,715 "," 11,193 "
131400,UNIVERSITY OF CALIFORNIA-IRVINE,IRVINE,CA,Public - 4 Year," $44,074,781 "," 9,878 "
131500,UNIVERSITY OF CALIFORNIA (UCLA),LOS ANGELES,CA,Public - 4 Year," $46,571,295 "," 10,847 "
131600,UNIVERSITY OF CALIFORNIA-RIVERSIDE,RIVERSIDE,CA,Public - 4 Year," $47,633,164 "," 10,975 "
131700,UNIVERSITY OF CALIFORNIA-SAN DIEGO,LA JOLLA,CA,Public - 4 Year," $43,938,603 "," 9,880 "
132000,UNIVERSITY OF CALIFORNIA-SANTA BARB,SANTA BARBARA,CA,Public - 4 Year," $32,740,591 "," 7,493 "
132100,UNIVERSITY OF CALIFORNIA-SANTA CRUZ,SANTA CRUZ,CA,Public - 4 Year," $31,677,437 "," 7,243 "
132200,UNIVERSITY OF REDLANDS,REDLANDS,CA,Private - 4 Year," $4,637,406 "," 1,258 "
132500,UNIVERSITY OF SAN FRANCISCO,SAN FRANCISCO,CA,Private - 4 Year," $6,856,818 "," 1,700 "
132600,SANTA CLARA UNIVERSITY,SANTA CLARA,CA,Private - 4 Year," $3,005,913 ", 723 
132800,UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,CA,Private - 4 Year," $18,912,183 "," 4,431 "
132900,UNIVERSITY OF THE PACIFIC,STOCKTON,CA,Private - 4 Year," $6,872,237 "," 1,618 "
133400,VENTURA COLLEGE,VENTURA,CA,Public - 2 Year," $15,044,999 "," 4,436 "
133500,VICTOR VALLEY COLLEGE,VICTORVILLE,CA,Public - 2 Year," $20,861,035 "," 5,911 "
133800,WEST VALLEY COLLEGE,SARATOGA,CA,Public - 2 Year," $5,746,537 "," 1,825 "
133900,CORBAN UNIVERSITY,SALEM,OR,Private - 4 Year," $1,650,885 ", 416 
134100,WESTMONT COLLEGE,SANTA BARBARA,CA,Private - 4 Year," $1,138,615 ", 285 
134200,WHITTIER COLLEGE,WHITTIER,CA,Private - 4 Year," $2,732,402 ", 624 
134300,WOODBURY UNIVERSITY,BURBANK,CA,Private - 4 Year," $3,198,493 ", 759 
134400,YUBA COLLEGE,MARYSVILLE,CA,Public - 2 Year," $12,143,404 "," 3,815 "
134500,ADAMS STATE COLLEGE,ALAMOSA,CO,Public - 4 Year," $5,320,114 "," 1,377 "
134600,ARAPAHOE COMMUNITY COLLEGE,LITTLETON,CO,Public - 2 Year," $10,707,123 "," 3,613 "
134700,COLORADO COLLEGE,COLORADO SPRINGS,CO,Private - 4 Year," $845,441 ", 200 
134800,COLORADO SCHOOL OF MINES,GOLDEN,CO,Public - 4 Year," $2,988,401 ", 755 
134900,UNIVERSITY OF NORTHERN COLORADO,GREELEY,CO,Public - 4 Year," $13,693,083 "," 3,525 "
135000,COLORADO STATE UNIVERSITY,FORT COLLINS,CO,Public - 4 Year," $22,958,671 "," 5,895 "
135300,FORT LEWIS COLLEGE,DURANGO,CO,Public - 4 Year," $5,630,939 "," 1,402 "
135500,LAMAR COMMUNITY COLLEGE,LAMAR,CO,Public - 2 Year," $1,320,249 ", 366 
135800,COLORADO MESA UNIVERSITY,GRAND JUNCTION,CO,Public - 4 Year," $15,478,042 "," 4,150 "
